Device Name;Address;Distance;RSSI;TX Power;System timestamp;Distance of measurement
Kontakt;D6:40:86:6D:BD:DF;1.26;-79.00;-77.00;28/04/2015 17:15:36:652;1.00
Kontakt;D6:40:86:6D:BD:DF;0.79;-75.00;-77.00;28/04/2015 17:15:36:913;1.00
Kontakt;D6:40:86:6D:BD:DF;0.45;-70.00;-77.00;28/04/2015 17:15:37:946;1.00
Kontakt;D6:40:86:6D:BD:DF;2.24;-84.00;-77.00;28/04/2015 17:15:38:350;1.00
Kontakt;D6:40:86:6D:BD:DF;2.82;-86.00;-77.00;28/04/2015 17:15:39:007;1.00
Kontakt;D6:40:86:6D:BD:DF;0.71;-74.00;-77.00;28/04/2015 17:15:39:387;1.00
Kontakt;D6:40:86:6D:BD:DF;8.91;-96.00;-77.00;28/04/2015 17:15:39:800;1.00
Kontakt;D6:40:86:6D:BD:DF;0.71;-74.00;-77.00;28/04/2015 17:15:40:074;1.00
Kontakt;D6:40:86:6D:BD:DF;3.55;-88.00;-77.00;28/04/2015 17:15:40:451;1.00
Kontakt;D6:40:86:6D:BD:DF;0.71;-74.00;-77.00;28/04/2015 17:15:40:779;1.00
Kontakt;D6:40:86:6D:BD:DF;4.47;-90.00;-77.00;28/04/2015 17:15:41:156;1.00
Kontakt;D6:40:86:6D:BD:DF;0.71;-74.00;-77.00;28/04/2015 17:15:41:584;1.00
Kontakt;D6:40:86:6D:BD:DF;2.24;-84.00;-77.00;28/04/2015 17:15:41:844;1.00
Kontakt;D6:40:86:6D:BD:DF;0.89;-76.00;-77.00;28/04/2015 17:15:42:229;1.00
Kontakt;D6:40:86:6D:BD:DF;3.55;-88.00;-77.00;28/04/2015 17:15:42:590;1.00
Kontakt;D6:40:86:6D:BD:DF;6.31;-93.00;-77.00;28/04/2015 17:15:43:275;1.00
Kontakt;D6:40:86:6D:BD:DF;0.79;-75.00;-77.00;28/04/2015 17:15:43:640;1.00
Kontakt;D6:40:86:6D:BD:DF;0.79;-75.00;-77.00;28/04/2015 17:15:44:328;1.00
Kontakt;D6:40:86:6D:BD:DF;0.63;-73.00;-77.00;28/04/2015 17:15:44:697;1.00
Kontakt;D6:40:86:6D:BD:DF;3.55;-88.00;-77.00;28/04/2015 17:15:45:056;1.00
Kontakt;D6:40:86:6D:BD:DF;0.79;-75.00;-77.00;28/04/2015 17:15:45:435;1.00
Kontakt;D6:40:86:6D:BD:DF;5.01;-91.00;-77.00;28/04/2015 17:15:45:860;1.00
Kontakt;D6:40:86:6D:BD:DF;0.71;-74.00;-77.00;28/04/2015 17:15:46:918;1.00
Kontakt;D6:40:86:6D:BD:DF;0.89;-76.00;-77.00;28/04/2015 17:15:47:324;1.00
