Device Name;Address;Distance;RSSI;TX Power;System timestamp;Distance of measurement
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:29:080;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.20;-63.00;-77.00;29/04/2015 11:22:29:418;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:29:805;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:30:115;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:30:876;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:31:566;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.13;-59.00;-77.00;29/04/2015 11:22:31:937;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:32:212;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:32:956;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:33:334;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:33:697;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:33:984;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.20;-63.00;-77.00;29/04/2015 11:22:34:333;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.13;-59.00;-77.00;29/04/2015 11:22:34:674;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:35:133;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:35:471;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:35:858;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:36:198;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:36:560;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.13;-59.00;-77.00;29/04/2015 11:22:36:837;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.20;-63.00;-77.00;29/04/2015 11:22:37:201;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:37:592;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:37:953;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:39:024;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:39:366;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:39:648;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:40:057;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:40:437;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:40:807;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:41:064;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.13;-59.00;-77.00;29/04/2015 11:22:41:434;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:41:821;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:42:540;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.13;-59.00;-77.00;29/04/2015 11:22:42:893;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:43:269;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.13;-59.00;-77.00;29/04/2015 11:22:44:275;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:44:639;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:45:420;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:45:777;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:47:153;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.13;-59.00;-77.00;29/04/2015 11:22:47:565;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:47:831;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.13;-59.00;-77.00;29/04/2015 11:22:48:203;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:49:232;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:49:973;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:51:072;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:51:434;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:51:842;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:52:488;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:53:186;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:53:563;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:53:867;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:54:255;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:54:646;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:55:025;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:55:297;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:55:632;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:56:006;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:22:56:402;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:56:763;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:57:136;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:22:57:481;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.13;-59.00;-77.00;29/04/2015 11:22:57:920;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:58:153;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:22:58:500;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.13;-59.00;-77.00;29/04/2015 11:22:59:286;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.13;-59.00;-77.00;29/04/2015 11:22:59:974;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:23:00:285;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:23:00:708;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:23:00:958;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.13;-59.00;-77.00;29/04/2015 11:23:01:300;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:23:01:693;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:23:02:055;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:23:02:442;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.13;-59.00;-77.00;29/04/2015 11:23:02:787;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:23:03:153;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.13;-59.00;-77.00;29/04/2015 11:23:03:431;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.18;-62.00;-77.00;29/04/2015 11:23:03:815;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.14;-60.00;-77.00;29/04/2015 11:23:04:198;0.50
Kontakt;F5:7A:A5:E3:EF:18;0.16;-61.00;-77.00;29/04/2015 11:23:04:580;0.50
