Device Name;Address;Distance;RSSI;TX Power;System timestamp;Distance of measurement
Kontakt;D0:F8:F2:95:3A:5C;0.40;-69.00;-77.00;28/04/2015 17:03:01:143;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.35;-68.00;-77.00;28/04/2015 17:03:01:738;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.40;-69.00;-77.00;28/04/2015 17:03:02:106;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.56;-72.00;-77.00;28/04/2015 17:03:02:467;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.45;-70.00;-77.00;28/04/2015 17:03:02:779;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.56;-72.00;-77.00;28/04/2015 17:03:03:169;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.40;-69.00;-77.00;28/04/2015 17:03:03:583;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.71;-74.00;-77.00;28/04/2015 17:03:03:911;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.45;-70.00;-77.00;28/04/2015 17:03:04:322;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.63;-73.00;-77.00;28/04/2015 17:03:04:597;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.45;-70.00;-77.00;28/04/2015 17:03:04:976;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.63;-73.00;-77.00;28/04/2015 17:03:05:355;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.45;-70.00;-77.00;28/04/2015 17:03:05:617;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.45;-70.00;-77.00;28/04/2015 17:03:06:064;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.45;-70.00;-77.00;28/04/2015 17:03:06:335;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.63;-73.00;-77.00;28/04/2015 17:03:06:734;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.45;-70.00;-77.00;28/04/2015 17:03:07:139;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.63;-73.00;-77.00;28/04/2015 17:03:07:456;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.45;-70.00;-77.00;28/04/2015 17:03:07:812;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.45;-70.00;-77.00;28/04/2015 17:03:08:195;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.45;-70.00;-77.00;28/04/2015 17:03:08:515;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.40;-69.00;-77.00;28/04/2015 17:03:09:247;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.40;-69.00;-77.00;28/04/2015 17:03:09:942;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.45;-70.00;-77.00;28/04/2015 17:03:10:326;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.50;-71.00;-77.00;28/04/2015 17:03:10:697;1.00
Kontakt;D0:F8:F2:95:3A:5C;0.40;-69.00;-77.00;28/04/2015 17:03:10:987;1.00
