Device Name;Address;Distance;RSSI;TX Power;System timestamp;Distance of measurement
Kontakt;F5:7A:A5:E3:EF:18;0.71;-74.00;-77.00;28/04/2015 17:35:07:115;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.40;-69.00;-77.00;28/04/2015 17:35:07:574;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.63;-73.00;-77.00;28/04/2015 17:35:07:815;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.45;-70.00;-77.00;28/04/2015 17:35:08:194;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.63;-73.00;-77.00;28/04/2015 17:35:08:566;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.71;-74.00;-77.00;28/04/2015 17:35:09:239;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.40;-69.00;-77.00;28/04/2015 17:35:09:645;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.50;-71.00;-77.00;28/04/2015 17:35:10:040;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.40;-69.00;-77.00;28/04/2015 17:35:10:369;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.40;-69.00;-77.00;28/04/2015 17:35:11:015;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.56;-72.00;-77.00;28/04/2015 17:35:11:498;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.40;-69.00;-77.00;28/04/2015 17:35:11:832;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.45;-70.00;-77.00;28/04/2015 17:35:12:189;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.40;-69.00;-77.00;28/04/2015 17:35:12:431;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.40;-69.00;-77.00;28/04/2015 17:35:13:159;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.50;-71.00;-77.00;28/04/2015 17:35:13:521;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.45;-70.00;-77.00;28/04/2015 17:35:13:927;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.50;-71.00;-77.00;28/04/2015 17:35:14:272;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.40;-69.00;-77.00;28/04/2015 17:35:14:564;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.50;-71.00;-77.00;28/04/2015 17:35:14:965;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.40;-69.00;-77.00;28/04/2015 17:35:15:306;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.40;-69.00;-77.00;28/04/2015 17:35:15:680;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.50;-71.00;-77.00;28/04/2015 17:35:16:039;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.45;-70.00;-77.00;28/04/2015 17:35:16:407;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.40;-69.00;-77.00;28/04/2015 17:35:16:702;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.45;-70.00;-77.00;28/04/2015 17:35:17:456;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.45;-70.00;-77.00;28/04/2015 17:35:17:798;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.45;-70.00;-77.00;28/04/2015 17:35:18:174;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.45;-70.00;-77.00;28/04/2015 17:35:18:475;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.63;-73.00;-77.00;28/04/2015 17:35:18:828;1.00
Kontakt;F5:7A:A5:E3:EF:18;0.45;-70.00;-77.00;28/04/2015 17:35:19:210;1.00
