Device Name;Address;Distance;RSSI;TX Power;System timestamp;Distance of measurement
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:19:50:311;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:19:50:655;2.00
Kontakt;D9:A3:28:6A:A7:F1;0.79;-75.00;-77.00;29/04/2015 12:19:51:283;2.00
Kontakt;D9:A3:28:6A:A7:F1;2.24;-84.00;-77.00;29/04/2015 12:19:51:626;2.00
Kontakt;D9:A3:28:6A:A7:F1;0.89;-76.00;-77.00;29/04/2015 12:19:52:037;2.00
Kontakt;D9:A3:28:6A:A7:F1;0.89;-76.00;-77.00;29/04/2015 12:19:52:482;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:19:52:756;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:19:53:070;2.00
Kontakt;D9:A3:28:6A:A7:F1;0.89;-76.00;-77.00;29/04/2015 12:19:53:437;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:19:53:836;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:19:54:165;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.58;-81.00;-77.00;29/04/2015 12:19:54:628;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.26;-79.00;-77.00;29/04/2015 12:19:54:815;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.58;-81.00;-77.00;29/04/2015 12:19:56:355;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:19:57:022;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:19:57:387;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:19:57:736;2.00
Kontakt;D9:A3:28:6A:A7:F1;0.89;-76.00;-77.00;29/04/2015 12:19:58:018;2.00
Kontakt;D9:A3:28:6A:A7:F1;2.24;-84.00;-77.00;29/04/2015 12:19:58:466;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:19:58:727;2.00
Kontakt;D9:A3:28:6A:A7:F1;0.89;-76.00;-77.00;29/04/2015 12:19:59:120;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.26;-79.00;-77.00;29/04/2015 12:19:59:559;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.26;-79.00;-77.00;29/04/2015 12:19:59:891;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:00:257;2.00
Kontakt;D9:A3:28:6A:A7:F1;2.00;-83.00;-77.00;29/04/2015 12:20:00:534;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:01:317;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:01:927;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:02:696;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:03:348;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:03:757;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:04:071;2.00
Kontakt;D9:A3:28:6A:A7:F1;0.89;-76.00;-77.00;29/04/2015 12:20:04:487;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:04:794;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:05:239;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:05:565;2.00
Kontakt;D9:A3:28:6A:A7:F1;0.89;-76.00;-77.00;29/04/2015 12:20:05:887;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:06:220;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:06:975;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:07:246;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:07:724;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:08:394;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.26;-79.00;-77.00;29/04/2015 12:20:08:774;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:09:071;2.00
Kontakt;D9:A3:28:6A:A7:F1;0.89;-76.00;-77.00;29/04/2015 12:20:09:861;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:10:578;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:12:209;2.00
Kontakt;D9:A3:28:6A:A7:F1;0.89;-76.00;-77.00;29/04/2015 12:20:13:336;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:13:691;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:14:085;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.26;-79.00;-77.00;29/04/2015 12:20:14:338;2.00
Kontakt;D9:A3:28:6A:A7:F1;0.89;-76.00;-77.00;29/04/2015 12:20:14:754;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:15:088;2.00
Kontakt;D9:A3:28:6A:A7:F1;0.89;-76.00;-77.00;29/04/2015 12:20:15:482;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.26;-79.00;-77.00;29/04/2015 12:20:15:847;2.00
Kontakt;D9:A3:28:6A:A7:F1;0.89;-76.00;-77.00;29/04/2015 12:20:16:104;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.58;-81.00;-77.00;29/04/2015 12:20:16:548;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:16:865;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:17:187;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:17:891;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:18:661;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:19:005;2.00
Kontakt;D9:A3:28:6A:A7:F1;0.89;-76.00;-77.00;29/04/2015 12:20:19:355;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:19:763;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:20:102;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:20:448;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:20:743;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:21:104;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:21:848;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:22:241;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:22:594;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:22:972;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:23:364;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:23:594;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:23:942;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:24:317;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.26;-79.00;-77.00;29/04/2015 12:20:24:746;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.58;-81.00;-77.00;29/04/2015 12:20:25:449;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:25:845;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.58;-81.00;-77.00;29/04/2015 12:20:26:070;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:26:527;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:26:782;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:27:170;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.58;-81.00;-77.00;29/04/2015 12:20:27:512;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:27:886;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:28:288;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:28:535;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:28:989;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:29:336;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:29:978;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:30:324;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:30:725;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.26;-79.00;-77.00;29/04/2015 12:20:31:071;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:31:420;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:31:786;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:32:168;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:32:514;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:32:875;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.58;-81.00;-77.00;29/04/2015 12:20:33:157;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:33:610;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:33:860;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:34:371;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:34:597;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:34:994;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:35:334;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:35:723;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.26;-79.00;-77.00;29/04/2015 12:20:36:071;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:36:418;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.26;-79.00;-77.00;29/04/2015 12:20:36:820;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:37:150;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:37:862;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:38:528;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:38:873;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:39:614;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:39:977;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:40:711;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.12;-78.00;-77.00;29/04/2015 12:20:40:974;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.41;-80.00;-77.00;29/04/2015 12:20:41:413;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:41:754;2.00
Kontakt;D9:A3:28:6A:A7:F1;1.00;-77.00;-77.00;29/04/2015 12:20:42:419;2.00
