Device Name;Address;Distance;RSSI;TX Power;System timestamp;Distance of measurement
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:15:643;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.89;-76.00;-77.00;29/04/2015 12:37:16:055;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.45;-70.00;-77.00;29/04/2015 12:37:16:375;2.00
Kontakt;FF:A6:7C:AF:B0:CB;1.00;-77.00;-77.00;29/04/2015 12:37:16:760;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:17:105;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.89;-76.00;-77.00;29/04/2015 12:37:17:480;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.45;-70.00;-77.00;29/04/2015 12:37:17:821;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.56;-72.00;-77.00;29/04/2015 12:37:18:108;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.45;-70.00;-77.00;29/04/2015 12:37:18:464;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.45;-70.00;-77.00;29/04/2015 12:37:18:836;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:19:192;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.71;-74.00;-77.00;29/04/2015 12:37:19:605;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.45;-70.00;-77.00;29/04/2015 12:37:19:946;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.89;-76.00;-77.00;29/04/2015 12:37:20:275;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.45;-70.00;-77.00;29/04/2015 12:37:20:616;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.45;-70.00;-77.00;29/04/2015 12:37:21:285;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.63;-73.00;-77.00;29/04/2015 12:37:21:649;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.79;-75.00;-77.00;29/04/2015 12:37:22:354;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:22:714;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:24:861;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.71;-74.00;-77.00;29/04/2015 12:37:25:256;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:25:631;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.79;-75.00;-77.00;29/04/2015 12:37:25:914;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:26:254;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.71;-74.00;-77.00;29/04/2015 12:37:26:680;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:27:027;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.79;-75.00;-77.00;29/04/2015 12:37:27:346;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:27:713;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:29:120;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:30:230;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.79;-75.00;-77.00;29/04/2015 12:37:30:568;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:31:282;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:34:070;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:34:520;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.50;-71.00;-77.00;29/04/2015 12:37:35:902;2.00
Kontakt;FF:A6:7C:AF:B0:CB;0.79;-75.00;-77.00;29/04/2015 12:37:36:304;2.00
