Device Name;Address;Accuracy;Battery Level;Major;Minor;Rssi;TxPower;Firmware Version;Beacon Unique ID;Proximity UUID;Proximity;Beacon Timestamp Discovered; System timestamp;Distance of measurement
Kontakt;D0:F8:F2:95:3A:5C;1.32;100;54125;64809;-80;-77;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;10/04/2015 18:06:29:147;10/04/2015 18:06:29:163;0.50
Kontakt;D0:F8:F2:95:3A:5C;0.25;100;54125;64809;-67;-77;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;10/04/2015 18:06:29:147;10/04/2015 18:06:30:221;0.50
Kontakt;D0:F8:F2:95:3A:5C;0.33;100;54125;64809;-69;-77;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;10/04/2015 18:06:29:147;10/04/2015 18:06:30:566;0.50
Kontakt;D0:F8:F2:95:3A:5C;0.59;100;54125;64809;-73;-77;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;10/04/2015 18:06:29:147;10/04/2015 18:06:31:280;0.50
Kontakt;D0:F8:F2:95:3A:5C;0.39;100;54125;64809;-70;-77;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;10/04/2015 18:06:29:147;10/04/2015 18:06:31:630;0.50
Kontakt;D0:F8:F2:95:3A:5C;0.39;100;54125;64809;-70;-77;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;10/04/2015 18:06:29:147;10/04/2015 18:06:33:408;0.50
Kontakt;D0:F8:F2:95:3A:5C;0.67;100;54125;64809;-74;-77;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;10/04/2015 18:06:29:147;10/04/2015 18:06:33:752;0.50
Kontakt;D0:F8:F2:95:3A:5C;0.33;100;54125;64809;-69;-77;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;10/04/2015 18:06:29:147;10/04/2015 18:06:35:535;0.50
Kontakt;D0:F8:F2:95:3A:5C;0.29;100;54125;64809;-68;-77;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;10/04/2015 18:06:29:147;10/04/2015 18:06:36:595;0.50
Kontakt;D0:F8:F2:95:3A:5C;0.25;100;54125;64809;-67;-77;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;10/04/2015 18:06:29:147;10/04/2015 18:06:38:726;0.50
Kontakt;D0:F8:F2:95:3A:5C;0.44;100;54125;64809;-71;-77;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;10/04/2015 18:06:29:147;10/04/2015 18:06:39:460;0.50
Kontakt;D0:F8:F2:95:3A:5C;0.21;100;54125;64809;-66;-77;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;10/04/2015 18:06:29:147;10/04/2015 18:06:39:789;0.50
Kontakt;D0:F8:F2:95:3A:5C;0.67;100;54125;64809;-74;-77;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;10/04/2015 18:06:29:147;10/04/2015 18:06:40:506;0.50
Kontakt;D0:F8:F2:95:3A:5C;1.1;100;54125;64809;-78;-77;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;10/04/2015 18:06:29:147;10/04/2015 18:06:41:580;0.50
