Device Name;Address;Accuracy;Battery Level;Major;Minor;Rssi;TxPower;Firmware Version;Beacon Unique ID;Proximity UUID;Proximity;Beacon Timestamp Discovered; System timestamp;Distance of measurement
Kontakt;F5:7A:A5:E3:EF:18;0.21;100;58047;14070;-66;-77;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;06/04/2015 11:33:44:327;06/04/2015 11:33:44:336;0.5
Kontakt;F5:7A:A5:E3:EF:18;0.25;100;58047;14070;-67;-77;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;06/04/2015 11:33:44:327;06/04/2015 11:33:45:394;0.5
Kontakt;F5:7A:A5:E3:EF:18;0.25;100;58047;14070;-67;-77;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;06/04/2015 11:33:44:327;06/04/2015 11:33:46:455;0.5
Kontakt;F5:7A:A5:E3:EF:18;0.29;100;58047;14070;-68;-77;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;06/04/2015 11:33:44:327;06/04/2015 11:33:47:193;0.5
Kontakt;F5:7A:A5:E3:EF:18;0.29;100;58047;14070;-68;-77;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;06/04/2015 11:33:44:327;06/04/2015 11:33:48:234;0.5
Kontakt;F5:7A:A5:E3:EF:18;0.33;100;58047;14070;-69;-77;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;06/04/2015 11:33:44:327;06/04/2015 11:33:48:575;0.5
Kontakt;F5:7A:A5:E3:EF:18;0.25;100;58047;14070;-67;-77;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;06/04/2015 11:33:44:327;06/04/2015 11:33:49:296;0.5
Kontakt;F5:7A:A5:E3:EF:18;0.29;100;58047;14070;-68;-77;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;06/04/2015 11:33:44:327;06/04/2015 11:33:50:354;0.5
Kontakt;F5:7A:A5:E3:EF:18;0.25;100;58047;14070;-67;-77;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;06/04/2015 11:33:44:327;06/04/2015 11:33:50:709;0.5
Kontakt;F5:7A:A5:E3:EF:18;0.25;100;58047;14070;-67;-77;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;06/04/2015 11:33:44:327;06/04/2015 11:33:52:493;0.5
Kontakt;F5:7A:A5:E3:EF:18;0.29;100;58047;14070;-68;-77;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;06/04/2015 11:33:44:327;06/04/2015 11:33:53:209;0.5
Kontakt;F5:7A:A5:E3:EF:18;0.25;100;58047;14070;-67;-77;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;06/04/2015 11:33:44:327;06/04/2015 11:33:53:550;0.5
Kontakt;F5:7A:A5:E3:EF:18;0.25;100;58047;14070;-67;-77;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;06/04/2015 11:33:44:327;06/04/2015 11:33:54:270;0.5
Kontakt;F5:7A:A5:E3:EF:18;0.25;100;58047;14070;-67;-77;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;06/04/2015 11:33:44:327;06/04/2015 11:33:54:617;0.5
