Device Name;Address;Accuracy;Battery Level;Major;Minor;Rssi;TxPower;Firmware Version;Beacon Unique ID;Proximity UUID;Proximity;Beacon Timestamp Discovered; System timestamp;Distance of measurement
Kontakt;D0:F8:F2:95:3A:5C;0.00;98;54125;64809;-39.00;-77.00;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;02/05/2015 16:47:47:245;02/05/2015 16:47:47:257;0.00
Kontakt;D0:F8:F2:95:3A:5C;0.00;98;54125;64809;-40.00;-77.00;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;02/05/2015 16:47:47:245;02/05/2015 16:47:47:950;0.00
Kontakt;D0:F8:F2:95:3A:5C;0.00;98;54125;64809;-39.00;-77.00;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;02/05/2015 16:47:47:245;02/05/2015 16:47:48:306;0.00
Kontakt;D0:F8:F2:95:3A:5C;0.00;98;54125;64809;-44.00;-77.00;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;02/05/2015 16:47:47:245;02/05/2015 16:47:49:016;0.00
Kontakt;D0:F8:F2:95:3A:5C;0.00;98;54125;64809;-40.00;-77.00;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;02/05/2015 16:47:47:245;02/05/2015 16:47:49:362;0.00
Kontakt;D0:F8:F2:95:3A:5C;0.00;98;54125;64809;-43.00;-77.00;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;02/05/2015 16:47:47:245;02/05/2015 16:47:50:079;0.00
Kontakt;D0:F8:F2:95:3A:5C;0.00;98;54125;64809;-40.00;-77.00;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;02/05/2015 16:47:47:245;02/05/2015 16:47:50:431;0.00
Kontakt;D0:F8:F2:95:3A:5C;0.00;98;54125;64809;-43.00;-77.00;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;02/05/2015 16:47:47:245;02/05/2015 16:47:51:147;0.00
Kontakt;D0:F8:F2:95:3A:5C;0.00;98;54125;64809;-40.00;-77.00;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;02/05/2015 16:47:47:245;02/05/2015 16:47:51:497;0.00
Kontakt;D0:F8:F2:95:3A:5C;0.00;98;54125;64809;-41.00;-77.00;12854;V2fJ;f7826da6-4fa2-4e98-8024-bc5b71e0893e;IMMEDIATE;02/05/2015 16:47:47:245;02/05/2015 16:47:52:214;0.00
