Device Name;Address;Accuracy;Battery Level;Major;Minor;Rssi;TxPower;Firmware Version;Beacon Unique ID;Proximity UUID;Proximity;Beacon Timestamp Discovered; System timestamp;Distance of measurement
Kontakt;F5:7A:A5:E3:EF:18;3.97;100;58047;14070;-93.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:22:085;0.00
Kontakt;F5:7A:A5:E3:EF:18;3.97;100;58047;14070;-93.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:22:912;0.00
Kontakt;F5:7A:A5:E3:EF:18;3.97;100;58047;14070;-93.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:22:992;0.00
Kontakt;F5:7A:A5:E3:EF:18;3.97;100;58047;14070;-93.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:23:088;0.00
Kontakt;F5:7A:A5:E3:EF:18;3.97;100;58047;14070;-93.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:23:617;0.00
Kontakt;F5:7A:A5:E3:EF:18;3.97;100;58047;14070;-93.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:23:698;0.00
Kontakt;F5:7A:A5:E3:EF:18;5.45;100;58047;14070;-97.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:23:803;0.00
Kontakt;F5:7A:A5:E3:EF:18;5.45;100;58047;14070;-97.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:23:969;0.00
Kontakt;F5:7A:A5:E3:EF:18;5.45;100;58047;14070;-97.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:24:053;0.00
Kontakt;F5:7A:A5:E3:EF:18;5.45;100;58047;14070;-97.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:24:692;0.00
Kontakt;F5:7A:A5:E3:EF:18;5.45;100;58047;14070;-97.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:24:770;0.00
Kontakt;F5:7A:A5:E3:EF:18;6.86;100;58047;14070;-100.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:24:864;0.00
Kontakt;F5:7A:A5:E3:EF:18;6.86;100;58047;14070;-100.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:25:088;0.00
Kontakt;F5:7A:A5:E3:EF:18;6.86;100;58047;14070;-100.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:25:142;0.00
Kontakt;F5:7A:A5:E3:EF:18;6.86;100;58047;14070;-100.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:25:742;0.00
Kontakt;F5:7A:A5:E3:EF:18;6.86;100;58047;14070;-100.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:25:857;0.00
Kontakt;F5:7A:A5:E3:EF:18;6.86;100;58047;14070;-100.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:25:880;0.00
Kontakt;F5:7A:A5:E3:EF:18;3.97;100;58047;14070;-93.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:25:939;0.00
Kontakt;F5:7A:A5:E3:EF:18;3.97;100;58047;14070;-93.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:26:085;0.00
Kontakt;F5:7A:A5:E3:EF:18;3.97;100;58047;14070;-93.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:26:511;0.00
Kontakt;F5:7A:A5:E3:EF:18;3.97;100;58047;14070;-93.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:26:608;0.00
Kontakt;F5:7A:A5:E3:EF:18;4.66;100;58047;14070;-95.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:26:662;0.00
Kontakt;F5:7A:A5:E3:EF:18;4.66;100;58047;14070;-95.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:26:804;0.00
Kontakt;F5:7A:A5:E3:EF:18;4.66;100;58047;14070;-95.00;-77.00;12854;63Us;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:21:995;13/05/2015 21:11:26:862;0.00
