Device Name;Address;Accuracy;Battery Level;Major;Minor;Rssi;TxPower;Firmware Version;Beacon Unique ID;Proximity UUID;Proximity;Beacon Timestamp Discovered; System timestamp;Distance of measurement
Kontakt;D9:A3:28:6A:A7:F1;1.44;100;22682;5948;-81.00;-77.00;12854;Es2B;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:11:54:159;13/05/2015 21:11:54:168;0.00
Kontakt;D9:A3:28:6A:A7:F1;1.44;100;22682;5948;-81.00;-77.00;12854;Es2B;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:11:54:159;13/05/2015 21:11:54:267;0.00
Kontakt;D9:A3:28:6A:A7:F1;1.44;100;22682;5948;-81.00;-77.00;12854;Es2B;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:11:54:159;13/05/2015 21:11:54:381;0.00
Kontakt;D9:A3:28:6A:A7:F1;1.44;100;22682;5948;-81.00;-77.00;12854;Es2B;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:11:54:159;13/05/2015 21:11:54:545;0.00
Kontakt;D9:A3:28:6A:A7:F1;1.44;100;22682;5948;-81.00;-77.00;12854;Es2B;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:11:54:159;13/05/2015 21:11:54:593;0.00
Kontakt;D9:A3:28:6A:A7:F1;1.44;100;22682;5948;-81.00;-77.00;12854;Es2B;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:11:54:159;13/05/2015 21:11:55:263;0.00
Kontakt;D9:A3:28:6A:A7:F1;1.32;100;22682;5948;-80.00;-77.00;12854;Es2B;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:11:54:159;13/05/2015 21:11:55:589;0.00
Kontakt;D9:A3:28:6A:A7:F1;1.32;100;22682;5948;-80.00;-77.00;12854;Es2B;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:11:54:159;13/05/2015 21:11:56:330;0.00
Kontakt;D9:A3:28:6A:A7:F1;3.97;100;22682;5948;-93.00;-77.00;12854;Es2B;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:54:159;13/05/2015 21:11:56:670;0.00
Kontakt;D9:A3:28:6A:A7:F1;3.97;100;22682;5948;-93.00;-77.00;12854;Es2B;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:11:54:159;13/05/2015 21:11:56:757;0.00
